normalized_vendor_name,vendor_name,profile_url,profile_slug,slug_match_method,gsc_status,county_rows,counties_served,word_count,sentence_count,paragraph_count,opening_template_cluster_id,opening_template_cluster_size,nearest_neighbor_similarity,uniqueness_score_1_5,vendor_description_truncated
sttarr,STTARR,https://www.getcarryclass.com/instructors/sttarr,sttarr,constructed,unknown,1,yuba,64,3,1,4,3,0.6858,2,"Sierra Tactical Training and Active Response Resources (STTARR) is located in Bishop, California and provides certified CCW training for Inyo and Mono Counties. They offer both online and in-person co"
"tap rack bang, llc","Tap Rack Bang, LLC",https://www.getcarryclass.com/instructors/tap-rack-bang-training-c8e3a90d09,tap-rack-bang-training-c8e3a90d09,fuzzy,not_indexed,1,orange,76,3,1,347,1,0.6738,2,"Tap Rack Bang, LLC is a professional firearms training company that serves as the full-time occupation of its instructors, with over 30+ combined years of experience training US Marines, law enforceme"
"tap, rack, bang","Tap, Rack, Bang",https://www.getcarryclass.com/instructors/tap-rack-bang-training-c8e3a90d09,tap-rack-bang-training-c8e3a90d09,fuzzy,not_indexed,1,san-diego,67,3,1,344,1,0.6738,2,Tap Rack Bang is a full-time firearms training company that specializes in CCW training and civilian defense education. Led by instructors with over 30 combined years of experience training US Marines
tactical 360,Tactical 360,https://www.getcarryclass.com/instructors/tactical-360,tactical-360,constructed,unknown,1,fresno,71,3,1,36,2,0.6731,2,"Tactical 360 is a firearms training company located in Bakersfield, Kern County, California, led by certified instructor Chris Martinez who has over 30 years of experience. They provide training to la"
tactical 360 firearms training,Tactical 360 Firearms Training,https://www.getcarryclass.com/instructors/tactical-360-firearms-training-23d712e2c3,tactical-360-firearms-training-23d712e2c3,exact,not_indexed,1,tulare,65,3,1,36,2,0.6731,2,"Tactical 360 is a firearms training company located in Bakersfield, California, led by certified instructor Chris Martinez with over 30 years of experience. They specialize in training law enforcement"
twin cities rod and gun,Twin Cities Rod and Gun,https://www.getcarryclass.com/instructors/twin-cities-rod-and-gun-club-88132675d0,twin-cities-rod-and-gun-club-88132675d0,fuzzy,not_indexed,1,sutter,55,3,1,5,3,0.667,2,"Twin Cities Rod and Gun Club offers monthly concealed carry weapon classes taught by NRA certified instructors. Classes meet training requirements for Yuba, Sutter & Colusa County residents and are he"
twin cities rod and gun club,Twin Cities Rod and Gun Club,https://www.getcarryclass.com/instructors/twin-cities-rod-and-gun-club-88132675d0,twin-cities-rod-and-gun-club-88132675d0,exact,not_indexed,1,yuba,65,3,1,5,3,0.667,2,"Twin Cities Rod and Gun Club offers monthly concealed carry weapon classes taught by NRA certified instructors. The club serves Yuba, Sutter, and Colusa County residents with state-approved training c"
fresno rifle & pistol club,Fresno Rifle & Pistol Club,https://www.getcarryclass.com/instructors/fresno-rifle-pistol-club-f0ff91f678,fresno-rifle-pistol-club-f0ff91f678,exact,not_indexed,1,fresno,77,3,1,20,2,0.6668,2,"Fresno Rifle and Pistol Club is an outdoor recreational shooting facility located 15 minutes from Fresno and Clovis on 220 acres at the base of the Sierra foothills. Incorporated in 1934, FRPC provide"
fresno rifle and pistol club,Fresno Rifle and Pistol Club,https://www.getcarryclass.com/instructors/fresno-rifle-pistol-club-f0ff91f678,fresno-rifle-pistol-club-f0ff91f678,fuzzy,not_indexed,1,madera,64,3,1,20,2,0.6668,2,"Fresno Rifle and Pistol Club is an outdoor recreational shooting facility located 15 minutes from Fresno and Clovis on 220 acres at the base of the Sierra foothills. Incorporated in 1934, FRPC provide"
bull's eye firearms,Bull's Eye Firearms,https://www.getcarryclass.com/instructors/bulls-eye-firearms,bulls-eye-firearms,constructed,unknown,1,modoc,64,4,2,11,2,0.6657,2,"Bullseye Tactical Firearms Training provides CCW permit classes and tactical firearms training in the Redding, Shasta County, Mt. Shasta, and Siskiyou County area of California. They offer small, priv"
bullseye tactical firearms training,Bullseye Tactical Firearms Training,https://www.getcarryclass.com/instructors/bullseye-tactical-firearms-360da88bb6,bullseye-tactical-firearms-360da88bb6,fuzzy,not_indexed,1,siskiyou,77,4,2,102,1,0.6657,2,"Bullseye Tactical Firearms Training provides convenient CCW permit classes, tactical handgun training, and tactical rifle training in the Redding, Shasta County, Mt. Shasta, and Siskiyou County area o"
bay area tactical group (bat tactical),Bay Area Tactical Group (BAT Tactical),https://www.getcarryclass.com/instructors/bay-area-tactical-group-bat-tactical-4903e3cbaa,bay-area-tactical-group-bat-tactical-4903e3cbaa,exact,not_indexed,3,contra-costa|marin|san-benito,79,3,1,10,2,0.6613,2,"Bay Area Tactical Group (BAT Tactical) is the premier destination for tactical and firearms training in the Bay Area, offering courses for all skill levels from basic handgun training to advanced tact"
lagomarsino's firearm institute inc,Lagomarsino's Firearm Institute Inc,https://www.getcarryclass.com/instructors/lagomarsinos-firearm-institute-inc,lagomarsinos-firearm-institute-inc,constructed,unknown,1,el-dorado,61,3,1,25,2,0.6593,2,"Lagomarsino's Firearms Institute is a Sacramento-based training company operated by instructor Wes Lagomarsino. They offer California initial and renewal CCW courses three times per month, as well as "
zaks guns,Zaks Guns,https://www.getcarryclass.com/instructors/zaks-guns-2e4896627d,zaks-guns-2e4896627d,exact,not_indexed,1,fresno,63,3,1,38,2,0.6577,2,"Zaks Guns LLC is a firearms retailer dedicated to providing competitive prices and customer service in the firearms industry. They specialize in firearm transfers, ammunition sales, and serve as a Blu"
zaks guns llc,Zaks Guns LLC,https://www.getcarryclass.com/instructors/zaks-guns-2e4896627d,zaks-guns-2e4896627d,fuzzy,not_indexed,2,madera|tulare,57,2,1,38,2,0.6577,2,"Zaks Guns LLC is a firearms dealer specializing in gun sales, transfers, and ammunition services with competitive pricing and customer service focus. They handle firearm and ammunition transfers from "
tap rack bang training,Tap Rack Bang Training,https://www.getcarryclass.com/instructors/tap-rack-bang-training-c8e3a90d09,tap-rack-bang-training-c8e3a90d09,exact,not_indexed,1,riverside,65,3,1,345,1,0.6564,2,"Tap Rack Bang Training is a full-time firearms training company with over 30 combined years of experience training US Marines, law enforcement, and civilians. They offer CCW courses, private training "
sierra tactical training and active response,Sierra Tactical Training and Active Response,https://www.getcarryclass.com/instructors/sierra-tactical-training-and-active-response-9979afae8d,sierra-tactical-training-and-active-response-9979afae8d,exact,not_indexed,1,sutter,80,3,1,4,3,0.6553,2,"Sierra Tactical Training and Active Response Resources is located in Bishop, California and provides certified CCW classes for Inyo and Mono Counties. They offer both initial 16-hour CCW certification"
lagomarsino's firearms institute,Lagomarsino's Firearms Institute,https://www.getcarryclass.com/instructors/lagomarsinos-firearms-institute,lagomarsinos-firearms-institute,constructed,unknown,1,calaveras,63,3,1,238,1,0.6378,3,"Lagomarsino's Firearms Institute offers CCW courses and comprehensive firearms training in Sacramento. Led by instructor Wes Lagomarsino, they provide California initial and renewal courses three time"
jlpfi - john lewis professional firearms instruction,JLPFI - John Lewis Professional Firearms Instruction,https://www.getcarryclass.com/instructors/jlpfi-d04be8402c,jlpfi-d04be8402c,domain,not_indexed,1,fresno,77,3,1,217,1,0.6374,3,"JLPFI (John Lewis Professional Firearms Instruction) is a Central Valley firearms training provider offering CCW courses approved by multiple law enforcement agencies including Fresno County Sheriff, "
afi crossed star firearms,AFI Crossed Star Firearms,https://www.getcarryclass.com/instructors/crossed-star-firearms-19d51aa5d6,crossed-star-firearms-19d51aa5d6,fuzzy,not_indexed,1,butte,61,3,1,60,1,0.6359,3,"AFI Crossed Star Firearms is a Northern California firearms instructor offering CCW classes and comprehensive firearms training for all levels of shooters. They provide 16-hour initial CCW courses, 8-"
nts next threat solutions,NTS Next Threat Solutions,https://www.getcarryclass.com/instructors/next-threat-solutions-e0c94c4161,next-threat-solutions-e0c94c4161,fuzzy,not_indexed,1,amador,57,2,1,28,2,0.6304,3,Next Threat Solutions is a firearms training company that actively supports the sustainment and growth of responsibly armed and prepared American communities through personal protection and individual
next threat solutions,Next Threat Solutions,https://www.getcarryclass.com/instructors/next-threat-solutions-e0c94c4161,next-threat-solutions-e0c94c4161,exact,not_indexed,1,placer,40,2,1,28,2,0.6304,3,Next Threat Solutions is a firearms training company that focuses on personal protection and individual resilience education. Their mission is to actively support the sustainment and growth of respons
state of jefferson firearms training,State of Jefferson Firearms Training,https://www.getcarryclass.com/instructors/state-of-jefferson-firearms-training-ebaf684940,state-of-jefferson-firearms-training-ebaf684940,exact,not_indexed,4,glenn|siskiyou|tehama|trinity,73,3,1,35,2,0.6297,3,"State of Jefferson Firearms Training is a certified firearms training center serving North State California residents including Tehama, Shasta, Glenn, Trinity, Lassen and Siskiyou counties. They offer"
state of jefferson firearms,State of Jefferson Firearms,https://www.getcarryclass.com/instructors/state-of-jefferson-firearms-training-ebaf684940,state-of-jefferson-firearms-training-ebaf684940,fuzzy,not_indexed,1,shasta,65,3,1,35,2,0.6297,3,"State of Jefferson Firearms Training is a certified CCW training center serving North State California residents across multiple counties including Tehama, Shasta, Glenn, Trinity, Lassen, and Siskiyou"
shootsafe academy ft3 tactical range,ShootSafe Academy FT3 Tactical Range,https://www.getcarryclass.com/instructors/shootsafe-academy-ft3-tactical-range,shootsafe-academy-ft3-tactical-range,constructed,unknown,1,los-angeles,63,3,1,34,2,0.6274,3,"Shootsafe Academy has been providing professional firearms instruction to Southern California for over 13 years, serving Orange, Los Angeles, Riverside and San Diego counties. They offer 16-hour basic"
shootsafe academy,ShootSafe Academy,https://www.getcarryclass.com/instructors/shootsafe-academy-ce1b14c354,shootsafe-academy-ce1b14c354,exact,not_indexed,3,orange|riverside|san-diego,72,3,1,34,2,0.6274,3,"Shootsafe Academy has been providing professional firearms instruction to Orange County for over 13 years, recently expanding services to Riverside, Los Angeles, and San Diego counties. They specializ"
vip ccw services lax airport range,VIP CCW Services LAX Airport Range,https://www.getcarryclass.com/instructors/vip-ccw-services-lax-airport-range-dc0a01bcc1,vip-ccw-services-lax-airport-range-dc0a01bcc1,exact,not_indexed,1,los-angeles,70,3,1,37,2,0.6266,3,"VIP CCW Services has been providing California CCW permit training since 2015, operating seven days a week with modular formatted classes to accommodate busy schedules. They are authorized training pr"
vip ccw services,VIP CCW Services,https://www.getcarryclass.com/instructors/vip-ccw-services,vip-ccw-services,constructed,unknown,2,orange|san-diego,82,3,1,37,2,0.6266,3,VIP CCW Services has been providing California CCW permit training since 2015 in adherence to CA Penal Code 26165. They offer modular formatted classes seven days a week with hybrid online/in-person t
559 ccw llc,559 CCW LLC,https://www.getcarryclass.com/instructors/559-ccw-llc,559-ccw-llc,constructed,unknown,1,modoc,73,4,2,46,1,0.6243,3,"559CCW LLC provides online and in-person California CCW training courses serving residents of Fresno, Tulare, Kings, Merced, Madera, and Plumas counties. Led by a California DOJ-certified instructor a"
dobbs firearms training,Dobbs Firearms Training,https://www.getcarryclass.com/instructors/firearms-training-e51d601167,firearms-training-e51d601167,fuzzy,not_indexed,1,calaveras,44,2,1,154,1,0.6223,3,"Dobbs Firearms Training provides California CCW renewal courses that satisfy the 8-hour SB2 training requirements for multiple counties including Calaveras, Contra Costa, Solano, Napa, Sacramento, and"
dobbs firearm training,Dobbs Firearm Training,https://www.getcarryclass.com/instructors/dobbs-firearm-training-decade8294,dobbs-firearm-training-decade8294,exact,not_indexed,2,contra-costa|solano,48,3,1,153,1,0.6223,3,"Dobbs Firearm Training provides California CCW training courses, specializing in 8-hour SB2 training requirements for permit renewals. They serve multiple counties including Calaveras, Contra Costa, S"
jones fort,Jones Fort,https://www.getcarryclass.com/instructors/jones-fort-cb9d340ee2,jones-fort-cb9d340ee2,exact,not_indexed,2,shasta|siskiyou,48,3,1,222,1,0.6196,3,"Jones' Fort is a gun shop serving Redding since 1962, offering firearms sales, transfers, and California regulatory compliance assistance. They buy, sell, and trade new and used firearms with a 1-Year"
jones' fort gun shop,Jones' Fort Gun Shop,https://www.getcarryclass.com/instructors/jones-fort-gun-shop,jones-fort-gun-shop,constructed,unknown,1,tehama,60,3,1,221,1,0.6196,3,Jones' Fort Gun Shop has been serving Redding since 1962 as a full-service firearms dealer offering new and used guns with a 1-year warranty. Their qualified staff provides first-hand knowledge to hel
bob saylor,Bob Saylor,https://www.getcarryclass.com/instructors/bob-saylor-b8fdf29caf,bob-saylor-b8fdf29caf,exact,not_indexed,1,del-norte,39,2,1,100,1,0.6139,3,Bob Saylor is a certified NRA firearms instructor and retired law enforcement officer serving Del Norte County. He is recognized by the Del Norte County Sheriff's Office as an authorized CCW instructo
ed fleshman,Ed Fleshman,https://www.getcarryclass.com/instructors/ed-fleshman-e0039171b7,ed-fleshman-e0039171b7,exact,not_indexed,1,del-norte,34,2,1,161,1,0.6139,3,Ed Fleshman is a former Del Norte County Sheriff and certified CCW instructor with law enforcement credentials including California POST and FBI certifications. He serves as an approved CCW instructor
"forza defense training, llc","Forza Defense Training, LLC",https://www.getcarryclass.com/instructors/forza-defense-training-756514ead2,forza-defense-training-756514ead2,fuzzy,not_indexed,1,orange,78,3,1,185,1,0.5995,3,"Forza Defense Training, LLC is Orange County's premier concealed weapon training company, led by CEO and founder Gina who operates the business from a passion for competitive shooting rather than trad"
forza defense training,Forza Defense Training,https://www.getcarryclass.com/instructors/forza-defense-training-756514ead2,forza-defense-training-756514ead2,exact,not_indexed,1,san-diego,66,3,1,184,1,0.5995,3,"Forza Defense Training is Orange and San Diego County's premier concealed weapon training provider, led by CEO and founder Gina whose instructors are trained by NRA and USCCA. Their CCW courses are ac"
trb training ft3 tactical range,TRB Training FT3 Tactical Range,https://www.getcarryclass.com/instructors/trb-training-ft3-tactical-range,trb-training-ft3-tactical-range,constructed,unknown,1,los-angeles,57,3,1,346,1,0.5933,3,"Tap Rack Bang Training specializes in practical firearms instruction for civilian defenders, offering CCW training courses and advanced pistol/rifle classes. They operate as relentless 2nd Amendment a"
gallardo firearms training,Gallardo Firearms Training,https://www.getcarryclass.com/instructors/gallardo-firearms-training-fa5d1c18a9,gallardo-firearms-training-fa5d1c18a9,exact,not_indexed,1,kings,62,3,1,21,2,0.5874,3,"Gallardo Firearms Training is operated by two brothers, Jesus and Adolfo Gallardo, who are military veterans and competitive shooters with law enforcement experience. They provide CCW training for Tul"
galardo firearms training,Galardo Firearms Training,https://www.getcarryclass.com/instructors/firearms-training-e51d601167,firearms-training-e51d601167,fuzzy,not_indexed,1,tulare,61,3,1,21,2,0.5874,3,"Gallardo Firearms Training is operated by two military veteran brothers, Jesus and Adolfo Gallardo, who provide CCW training in Tulare and Kings counties. They offer both initial and renewal CCW class"
rankin field weapons range,Rankin Field Weapons Range,https://www.getcarryclass.com/instructors/rankin-field-weapons-range,rankin-field-weapons-range,constructed,unknown,1,kings,50,3,1,300,1,0.5844,3,"Rankin Field Weapons Range is Central California's ultimate weapons range offering firearms training and CCW permit services. They provide multiple pistol ranges, a 100-yard rifle range, and flexible "
rankin field,Rankin Field,https://www.getcarryclass.com/instructors/rankin-field-5283afad11,rankin-field-5283afad11,exact,not_indexed,1,tulare,59,3,1,299,1,0.5844,3,"Rankin Field Weapons Range is a public shooting facility in Central California offering multiple pistol ranges, a 100-yard rifle range, and firearms training classes. They provide CCW permit courses a"
premier tactical training,Premier Tactical Training,https://www.getcarryclass.com/instructors/premier-tactical-training-2c12bc858a,premier-tactical-training-2c12bc858a,ambiguous_exact,not_indexed,1,tulare,60,4,2,7,2,0.5796,3,"559CCW provides online and in-person California CCW training led by a U.S. Marine Corps veteran and DOJ-certified instructor. They offer flexible online courses with automatic progress saving, serving"
bullseye tactical firearms,Bullseye Tactical Firearms,https://www.getcarryclass.com/instructors/bullseye-tactical-firearms-360da88bb6,bullseye-tactical-firearms-360da88bb6,exact,not_indexed,1,shasta,60,4,2,11,2,0.575,3,"Bullseye Tactical Firearms Training provides CCW permit classes and tactical firearms training in the Redding, Shasta County, Mt. Shasta, and Siskiyou County area of California. They offer small class"
distinguished firearms,Distinguished Firearms,https://www.getcarryclass.com/instructors/distinguished-firearms-instruction-49f1cbdc46,distinguished-firearms-instruction-49f1cbdc46,fuzzy,not_indexed,2,lassen|siskiyou,58,3,1,13,2,0.5733,3,"Distinguished Firearms Instruction specializes in Concealed Weapons Classes and Firearms instruction in a fun and extremely safe environment. They offer 16-hour, two-day CCW classes that comply with C"
distinguished firearms instruction,Distinguished Firearms Instruction,https://www.getcarryclass.com/instructors/distinguished-firearms-instruction-49f1cbdc46,distinguished-firearms-instruction-49f1cbdc46,exact,not_indexed,3,modoc|shasta|tehama,63,3,1,13,2,0.5733,3,"Distinguished Firearms Instruction specializes in Concealed Weapons Classes and firearms instruction in Northern California, serving Shasta, Siskiyou, and surrounding counties. They offer CCW certific"
down range indoor training center,Down Range Indoor Training Center,https://www.getcarryclass.com/instructors/down-range-indoor-training-center,down-range-indoor-training-center,constructed,unknown,2,butte|sutter,83,3,1,14,2,0.5689,3,"Down Range Indoor Training Center is Northern California's only 5-star rated range according to the National Shooting Sports Foundation, featuring the area's only 25-yard pistol, rifle and shotgun ran"
down range,Down Range,https://www.getcarryclass.com/instructors/down-range-958bed1959,down-range-958bed1959,exact,not_indexed,6,glenn|lassen|plumas|shasta|tehama|yuba,76,3,1,14,2,0.5689,3,"Down Range Indoor Training Center is the North State's only 25-yard pistol, rifle and shotgun range, offering comprehensive firearms training including CCW courses and advanced pistol training. They f"
police science institute,Police Science Institute,https://www.getcarryclass.com/instructors/police-science-institute,police-science-institute,constructed,unknown,3,kings|madera|merced,65,3,1,286,1,0.5664,3,"Police Science Institute is the Valley's #1 independent school for security and law enforcement training, founded in 1991. They offer CCW first-time permits, renewals, and Utah non-resident permits, a"
police science institute and range pistol club,Police Science Institute and Range Pistol Club,https://www.getcarryclass.com/instructors/police-science-institute-and-range-pistol-club-20fcdaa066,police-science-institute-and-range-pistol-club-20fcdaa066,exact,not_indexed,1,tulare,62,3,1,285,1,0.5664,3,Police Science Institute and Range Pistol Club has been the Valley's premier independent school for security and law enforcement training since 1991. The facility combines a full-service indoor firear
